5262
1
2020,11,12,
덤벨숄더프레스,어깨,5,12,18.0
2
2020,11,29,
벤치프레스,가슴,6,5,80.0
인클라인 벤치프레스,가슴,4,12,40.0
4
2020,12,2,
레그프레스,하체,3,15,160.0
레그 익스텐션,하체,4,12,40.0
벤치프레스,가스,3,5,80.0
랫 풀 다운,등,3,15,45.0
4
2020,12,4,
데드리프트,등,3,2,130.0
풀업,등,4,10,0.0
바벨로우,등,5,12,50.0
원암로우,등,4,15,24.0
6
2020,12,7,
벤치프레스,가슴,4,8,70.0
인클라인 벤치프레스,가슴,4,10,60.0
케이블 트라이셉스 익스텐션,팔,4,20,50.0
케이블 크런치,코어,5,15,100.0
덤벨 벤치프레스,가슴,4,6,24.0
덤벨 컬,팔,4,12,13.0
